termo,termoOriginal,classe,termoBase,termosEquivalentes,descricao,exemplo,dominio,planilhaEN,observacao
Medida: Caverna,Medida: Caverna,MMA_assessment,,,"As análises espaciais de ocorrência das espécies em cavernas foram descritas no item anterior. A lista das espécies ameaçadas que ocorrem em cavernas foi fornecida pelo CECAV/ICMBio.
A sugestão da reunião de especialistas foi considerar com um peso maior as cavernas classificadas como de máxima relevância. Entretanto, a ocorrência de espécies ameaçadas é um dos critérios que classifica a caverna como de máxima relevância. Portanto, todas as cavernas deste exercício são necessariamente de máxima relevância.
Devido à dificuldade de determinar a extensão das cavernas, não foi possível calcular a área de distribuição das espécies que está coberta por cavernas, e sim presença e ausência. Dessa forma, foi atribuída Classe 2 nesse critério para todas as espécies analisadas que apresentaram sobreposição com cavernas.",,0; 2,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Peso da Medida: Caverna,Peso da Medida: Caverna,MMA_assessment,,,Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie,,2,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Medida: PAN,Medida: PAN,MMA_assessment,,,"A efetividade dos PAN foi avaliada de acordo com seu grau de implementação:
• Classe 1: espécies que estão em PAN não avaliado; espécies em PAN encerrados, aguardando novo ciclo; espécies em PAN com menos de 40% de implementação;
• Classe 2: espécies que estão em PAN com grau de implementação igual ou maior que 40%;
• Classe 3: espécies em PAN encerrado que atingiu seu objetivo e não necessita de novo ciclo.",,0; 1; 2; 3,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Peso da Medida: PAN,Peso da Medida: PAN,MMA_assessment,,,Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie,,2,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Medida: Ordenamento pesqueiro,Medida: Ordenamento pesqueiro,MMA_assessment,,,"A equipe do DESP/MMA realizou um levantamento das normas de ordenamento pesqueiro vigentes, considerando também moratórias e planos de recuperação. O critério considerado foi o seguinte:
• Classe 1: espécie é indiretamente beneficiada pela medida;
• Classe 2: ordenamento direcionado às práticas que afetam diretamente as espécies
• Classe 3: moratória ou citada nominalmente no ordenamento (exclusivo exemplo portaria da moratória da Piracatinga)",,0; 1; 2; 3,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Peso da Medida: Ordenamento pesqueiro,Peso da Medida: Ordenamento pesqueiro,MMA_assessment,,,Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie,,1,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Medida: Portaria 443,Medida: Portaria 443,MMA_assessment,,,"A Portaria MMA nº 443/2014, que estabelece a lista das espécies ameaçadas da flora, foi considerada como uma medida de conservação pelo fato de proibir coleta, corte, transporte, armazenamento, manejo, beneficiamento e comercialização das espécies listadas.
Todavia, o Art. 3° permite uma exceção para as espécies da categoria Vulnerável (VU), desde que regulamentada. As espécies madeireiras desta categoria que estão no bioma Amazônia foram regulamentadas, o que permite seu corte. Portanto, essas espécies receberam uma pontuação menor nesse critério:
• Classe 1: espécies madeireiras, da categoria VU, que ocorrem no bioma amazônico;
• Classe 2: demais espécies da flora, listadas na Portaria MMA nº 443/2014.",,,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Peso da Medida: Portaria 443,Peso da Medida: Portaria 443,MMA_assessment,,,Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie,,2,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Medida: Portaria 445,Medida: Portaria 445,MMA_assessment,,,"A inclusão da Portaria MMA n° 445/2014 segue o mesmo princípio que o da Portaria MMA nº 443/2014, considerando que a lista das espécies de peixes e invertebrados aquáticos ameaçados também oferece proteção diferenciada a estas espécies em relação às espécies não listadas considerando as restrições de uso previstas. O critério considerado foi o seguinte:
• Classe 1: espécies com interesse sócio-econômico que se beneficiariam com a Portaria MMA 445/2014.
• Classe 2: CR e EN de interesse econômico, com captura proibida.",,,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Peso da Medida: Portaria 445,Peso da Medida: Portaria 445,MMA_assessment,,,Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie,,2,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Medida: Anexo CMS,Medida: Anexo CMS,MMA_assessment,,,"Anexo CMS foi considerado como medida de conservação segundo o seguinte critério:
• Classe 2: espécies listadas no Anexo II da CMS
• Classe 3: espécies listadas no Anexo I da CMS",,0; 2; 3,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Peso da Medida: Anexo CMS,Peso da Medida: Anexo CMS,MMA_assessment,,,Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie,,1,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Medida: Anexos CITES,Medida: Anexos CITES,MMA_assessment,,,"Anexos da CITES foram considerados como medidas de conservação segundo o seguinte critério:
• Classe 3: espécies listadas nos Anexos da CITES",,0; 3,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Peso da Medida: Anexos CITES,Peso da Medida: Anexos CITES,MMA_assessment,,,Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie,,1,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
SOMA CLASSES,SOMA CLASSES,MMA_assessment,,,Soma dos valores (após multiplicação na coluna vizinha) relativos às medidas de conservação listadas com exceção da Portaria 445 e Anexo CMS.,,,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
